nct_id,title,study_status,study_type,phase,facility,facility_status,city,state,zip_code,latitude,longitude
NCT07282600,"A Study of Eloralintide (LY3841136) in Participants With Obesity or Overweight, and Type 2 Diabetes",RECRUITING,INTERVENTIONAL,PHASE3,Southern Endocrinology Associates,RECRUITING,Mesquite,Texas,75149,32.7668,-96.59916
NCT07340320,A Study of CX11 Tablets in Patients With Type 2 Diabetes Mellitus,RECRUITING,INTERVENTIONAL,PHASE2,"SMS Clinical Research, LLC - 400 W. Kearney St",RECRUITING,Mesquite,Texas,751497,32.7668,-96.59916
NCT07296484,Trial Against INtractable Type 2 Diabetes (CAPTAIN-T2D),RECRUITING,INTERVENTIONAL,PHASE2,"Texas Valley Clinical Research - Mission, TX",NOT_YET_RECRUITING,Mission,Texas,78572,26.21591,-98.32529
NCT07392190,A Study of Eloralintide (LY3841136) in Participants With Persistent Obesity Who Are Treated With a Weekly Incretin,RECRUITING,INTERVENTIONAL,PHASE3,Texas Valley Clinical Research (TVCR) - Mission,NOT_YET_RECRUITING,Mission,Texas,78572,26.21591,-98.32529
NCT07392190,A Study of Eloralintide (LY3841136) in Participants With Persistent Obesity Who Are Treated With a Weekly Incretin,RECRUITING,INTERVENTIONAL,PHASE3,Synergy Groups Medical LLC - Missouri City,RECRUITING,Missouri City,Texas,77459,29.61857,-95.53772
NCT07662109,A Phase III Study to Investigate the Efficacy and Safety of the Combination of Elecoglipron and Dapagliflozin in Adults With Type 2 Diabetes Mellitus,RECRUITING,INTERVENTIONAL,PHASE3,Research Site,NOT_YET_RECRUITING,Paris,Texas,75462,33.66094,-95.55551
NCT07351058,A Clinical Study to Evaluate the Effects of Enicepatide (RO7795068) in Participants With Obesity or Overweight and Type 2 Diabetes,RECRUITING,INTERVENTIONAL,PHASE3,"HRI ? Pasadena, LLC",RECRUITING,Pasadena,Texas,77505,29.69106,-95.2091
NCT07282600,"A Study of Eloralintide (LY3841136) in Participants With Obesity or Overweight, and Type 2 Diabetes",RECRUITING,INTERVENTIONAL,PHASE3,Research Your Health,RECRUITING,Plano,Texas,75093,33.01984,-96.69889
NCT07400653,A Study to Learn About the Study Medicine (PF-08653944) in People With Obesity or Overweight and Type 2 Diabetes (T2D),RECRUITING,INTERVENTIONAL,PHASE3,Dallas Clinical Research Center (Pillar Clinical Research),RECRUITING,Richardson,Texas,75080,32.94818,-96.72972
NCT07215559,"A Study of Macupatide (LY3532226) and Eloralintide (LY3841136), Alone or in Combination, in Adults With Obesity or Overweight and With Type 2 Diabetes",RECRUITING,INTERVENTIONAL,PHASE2,Aavon Clinical Trials,RECRUITING,Richmond,Texas,77407,29.58218,-95.76078
NCT06267391,Safety and Effectiveness of Endoscopic Intestinal Re-Cellularization Therapy in Individuals With Type II Diabetes,RECRUITING,INTERVENTIONAL,NA,"Texas Diabetes & Endocrinology, P.A.",RECRUITING,Round Rock,Texas,78681,30.50826,-97.6789
NCT06897475,A Study of LY3457263 Compared With Placebo in Participants With Type 2 Diabetes on a Stable Dose of Semaglutide or Tirzepatide,RECRUITING,INTERVENTIONAL,PHASE2,"Texas Diabetes & Endocrinology, P.A.",RECRUITING,Round Rock,Texas,78681,30.50826,-97.6789
NCT07296484,Trial Against INtractable Type 2 Diabetes (CAPTAIN-T2D),RECRUITING,INTERVENTIONAL,PHASE2,"Texas Diabetes & Endocrinology, P.A. - Round Rock",RECRUITING,Round Rock,Texas,78681,30.50826,-97.6789
NCT02969798,Pre-diabetes in Subject With Impaired Fasting Glucose (IFG) and Impaired Glucose Tolerance (IGT),RECRUITING,INTERVENTIONAL,NA,The University of Texas Health Science Center at San Antonio,RECRUITING,San Antonio,Texas,78229,29.42412,-98.49363
NCT03953963,Evaluation of Intra-Abdominal Fat Extraction Using HydraSolve T2D™ in Obese Subjects With Type 2 Diabetes,UNKNOWN,INTERVENTIONAL,NA,University of Texas Health Science Center at San Antonio,RECRUITING,San Antonio,Texas,78229,29.42412,-98.49363
